id,name,nrate,pic_url,nrating_pages,minplayers,maxplayers,minage,mean_rating,weight,categories,mechanics,f_0,f_1,f_2,f_3,f_4
181279,Fury of Dracula (Third/Fourth Edition),8919,https://cf.geekdo-images.com/micro/img/VCWVLBW143tOsfcoM5TyvNZG8zY=/fit-in/64x64/pic4411188.jpg,89,2,5,14,7.55893,3.2043,"Adventure,Deduction,Fighting,Horror,Novel-based","Hidden Movement,Point to Point Movement,Secret Unit Deployment,Team-Based Game,Variable Player Powers",-0.6805071119187546,1.9219087317613193,-1.431965464840842,0.7022830802216563,-0.3214990250963861
181304,Mysterium,25068,https://cf.geekdo-images.com/micro/img/8tkDsBMFLmVtUHU8mlauVJrHBKA=/fit-in/64x64/pic2601683.jpg,250,2,7,10,7.38017,1.9039,"Deduction,Horror,Murder/Mystery,Party Game","Communication Limits,Cooperative Game,Hand Management,Pattern Recognition",-0.3328083933980985,0.3866037779811782,-0.9468733462412188,0.4648615044046828,-0.3011843920100017
182028,Through the Ages: A New Story of Civilization,17031,https://cf.geekdo-images.com/micro/img/APvZ_BYOt4ElpIXVl7i6wUp2BvM=/fit-in/64x64/pic2663291.jpg,170,2,4,14,8.51056,4.3828,"Card Game,Civilization,Economic","Action Points,Auction/Bidding,Auction: Dutch,Card Drafting",-2.2522759454832535,-0.1690238715673266,0.6778821974247102,1.5546906961467657,1.9948991975872377
183394,Viticulture Essential Edition,19653,https://cf.geekdo-images.com/micro/img/L5giS2YYwyYZhAchWHSELlJ7U2U=/fit-in/64x64/pic2649952.jpg,196,1,6,13,8.12461,2.9345,"Economic,Farming","Contracts,Hand Management,Worker Placement,Worker Placement, Different Worker Types",-1.3429049743320713,0.45334447370420006,-0.24389436938727863,0.08763058741333463,2.8750219866013826
187645,Star Wars: Rebellion,17829,https://cf.geekdo-images.com/micro/img/AgmwMDLQBFrLlV7aLvkjfWjzLIY=/fit-in/64x64/pic4325841.jpg,178,2,4,14,8.43177,3.6943,"Fighting,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame","Area Majority / Influence,Area Movement,Dice Rolling,Hand Management,Team-Based Game,Variable Player Powers",-1.8054214568602858,1.7607452446506615,-0.07475002849215182,1.2310402679491292,0.4981379336949598
192291,Sushi Go Party!,15303,https://cf.geekdo-images.com/micro/img/89i8LAZ2TWE0Cwqcbk0ITCui2PA=/fit-in/64x64/pic3031286.jpg,153,2,8,8,7.50385,1.3277,"Card Game,Party Game","Card Drafting,Hand Management,Set Collection,Simultaneous Action Selection",-0.5287674717558073,-0.03447729648205727,-2.6066072985555966,-0.5768568462940764,0.6827691667052371
193738,Great Western Trail,21315,https://cf.geekdo-images.com/micro/img/ZyNfyt5ymrWUmsudjtWnQ_H_hTI=/fit-in/64x64/pic4887376.jpg,213,2,4,12,8.28853,3.6905,"American West,Animals","Deck, Bag, and Pool Building,Hand Management,Point to Point Movement,Set Collection,Variable Setup",-1.6612577778727677,-0.3406803254616047,0.03146257665393218,0.15379589924186354,2.6174241091337667
194655,Santorini,19477,https://cf.geekdo-images.com/micro/img/HXJza7gzeP7FUGgV_sm28qtSQ7I=/fit-in/64x64/pic3283110.png,194,2,4,8,7.60095,1.7424,"Abstract Strategy,Ancient,Mythology","Grid Movement,Square Grid,Three Dimensional Movement,Tile Placement,Variable Player Powers",-0.9418123689150648,-0.42363039602371594,-0.23226033157063994,2.4527207468119787,1.5157080026124197
198773,Codenames: Pictures,13526,https://cf.geekdo-images.com/micro/img/XQ090I0zJSe8TyT3MAiuGSt-LGQ=/fit-in/64x64/pic3476592.jpg,135,2,8,10,7.320460000000001,1.2688,"Card Game,Deduction,Party Game,Spies/Secret Agents","Communication Limits,Memory,Push Your Luck,Team-Based Game",-0.4996681835873443,-0.13126133012347624,-0.9962100433571018,0.5520256906132252,-0.21367303039600427
201808,Clank!: A Deck-Building Adventure,19325,https://cf.geekdo-images.com/micro/img/YaDV_7D3lWcYTlfka8AwedKtN1E=/fit-in/64x64/pic4449526.jpg,193,2,4,12,7.8102800000000006,2.1978,"Adventure,Fantasy","Card Drafting,Deck, Bag, and Pool Building,Drafting,Pick-up and Deliver,Player Elimination,Point to Point Movement,Push Your Luck",-1.1430818735607076,1.1017929648064977,-2.1559720654929784,0.5588624930721204,0.20845257255254412
204583,Kingdomino,22130,https://cf.geekdo-images.com/micro/img/kCv4_thrWAFzHR5e-KeTKMoQqFM=/fit-in/64x64/pic3132685.png,221,2,4,8,7.370610000000001,1.2172,"City Building,Fantasy,Medieval,Territory Building","Card Drafting,Pattern Building,Tile Placement",-0.34967387835355035,-0.4828144078168892,-0.7850727164835952,-0.893501590302992,2.826593455009011
205059,Mansions of Madness: Second Edition,18161,https://cf.geekdo-images.com/micro/img/_CpxsrtrFi4YLVvlgHkQG4OkU2I=/fit-in/64x64/pic3118622.jpg,181,1,5,14,8.134160000000001,2.662,"Adventure,Exploration,Fantasy,Fighting,Horror,Miniatures,Murder/Mystery,Puzzle","Area Movement,Cooperative Game,Dice Rolling,Hand Management,Modular Board,Role Playing,Solo / Solitaire Game,Team-Based Game,Variable Player Powers",-1.43759903786898,2.1929433863096333,-1.1847345635310054,-0.1072826761184695,-1.2171245922611547
205637,Arkham Horror: The Card Game,19347,https://cf.geekdo-images.com/micro/img/PDfjVra2DLzQpFj7dnATf81lSik=/fit-in/64x64/pic3122349.jpg,193,1,2,14,8.2064,3.3241,"Adventure,Card Game,Collectible Components,Fantasy,Horror,Novel-based","Action Points,Cooperative Game,Hand Management,Role Playing,Solo / Solitaire Game,Variable Player Powers",-1.5674991183987452,2.4255705927220372,-1.9825823645755711,-1.1211074814437412,-0.18614716204957005
209010,Mechs vs. Minions,11752,https://cf.geekdo-images.com/micro/img/PluLJId7M-9urByCb_VMyuiIh8o=/fit-in/64x64/pic3184103.jpg,117,2,4,14,8.10643,2.4247,"Fantasy,Fighting,Miniatures,Video Game Theme","Action Queue,Card Drafting,Cooperative Game,Dice Rolling,Modular Board,Role Playing,Variable Player Powers",-1.5728212620680724,1.4388294508862567,-0.22519330109307398,0.7551789904884225,0.7994352154690172
